Index,Abstract,Reviewer,True label,Comments,Requires expert review,JH Review,Prediction
106,"The invention provides an innovative yet straightforward approach to driving the seed distribution system in planters which feature hinged winged extensions. The flexibility of the hinged winged extensions may allow the planter to adjust to the contours of a field and to fold to facilitate transport of the planter. In one embodiment, for example, the invention may provide a mechanical coupling between several sections of a seed drive shaft which may support and be driven by a hydraulic motor for each of the winged sections. The seed drive system may also be coupled to row units to synchronize and power the distribution of seeds by the planter.",Zara,No,seed distribution,,,No
121,"A docking mechanism for mounting in a vehicle movably supports a separable chair. The docking mechanism has a turntable, fixed in the vehicle, carrying arms with an articulated lifting device to move the chair vertically and horizontally along the arms. In operation, the chair is maneuvered over the lifting device, outside the vehicle, and raised vertically then moved horizontally along the arms to a stowed position inside the vehicle. The chair has powered supporting wheels which are steerable and retractable for stowing. In this manner, an occupant of the chair may enter and exit a vehicle without leaving the chair.",Johanna,No,mechanism for moving/stowing a wheelchair within a vehicle,,,No
122,"The combination tool, in particular for motor vehicles, has an ice scraper (2) and or a squeegee (3) for removing moisture, an emergency hammer (4) and/or a cutting element (5) and/or a sharpening element (6) for wiper blades and/or a container (7) for a slip and/or lubricating agent on a handle (1). In addition to the known functions of ice scraping and/or water removal, this combination tool allows one or several additional functions, namely the function as an emergency hammer, belt cutter, wiper blade sharpener and lubrication agent dispenser, because of which as a whole it results in the performance of a total of six different functions and is therefore usable in a versatile way.",Rohan,No,Emergency Tool,,,No
126,"A hermetic type of cooking vessel with numerous nozzles arranged therein, and conduits which open at these nozzles are connected to a cold water source, a hot water source, a seasoning liquid source, a steam source, a superheated steam source and a heated nitrogen source via associated switching means. With this vessel food material is heated evenly without agitating the food material; and automatically heated with this vessel and cooked with accuracy. Thus, the food material is showered with the heated seasoning liquid and other cooking gases and liquids, and the used seasoning liquid is collected from the bottom of the cooking vessel to be reheated. The so reheated seasoning liquid is made to return to the cooking vessel. The cooking vessel is equipped with a food material temperature sensor, a pressure sensor and such like. In response to the signals from these sensors the temperatures of the seasoning liquid, hot water, steam, superheated steam, superheated nitrogen and cold water are controlled and these liquid and gases are supplied to the nozzles according to the sequencer program. Thus, the food material is disinfected and cooked in the cooking vessel under controlled pressure.",Raymond,No,,,,No
154,A simplified method of matching a golfer to a golf club and a golf ball by measuring the golfer&#39;s club head speed and comparing that measured value to recorded sets of data which correlates a few key variables that can accurately match the golfer with the most suitable golf club and golf ball designed to achieve optimum driving performance.,Lior,No,Not at all relater to AU.,,,No
163,"An integrated disposable set for dialysis or ultrafiltration treatment of blood is disclosed that includes a memory “key” chip. The key contains information relating to the set, including calibration for sensors, model and date of manufacture and a proprietary secret code to prevent unauthorized duplication of a circuit. The key is activated when treatment of a patient begins to prevent reuse of the set and a delay in use of the set that is too long. Patient data and operational information can be stored in the key during treatment. The key can be returned to the manufacturer or entered into hospital database for analysis. The key is preferably an EEPROM chip that can be embedded in an integral circuit sensor or a separate plug in device, such as a code card.",Jamie,No,"Healthcare, blood filtering",,,No
165,"A broaching system is disclosed for creating a cavity in a bone. The cavity has a cross section which has a generally triangular profile having a first side generally parallel with an axis of the bone and a second side forming an acute angle with the first side. The cavity is contiguous with a pre-existing conical cavity in the bone. The apparatus comprises as shaft and a broach. The shaft has a longitudinal axis. The broach is mounted to the shaft and has a first cutting side mounted at the acute angle relative to the longitudinal axis of the shaft. The first cutting side is formed to include teeth. The shaft and broach are configured so that when the longitudinal axis of the shaft is advanced into the bone along the axis of the bone, the teeth of the broach form the triangular cavity. A method for cutting a triangular cavity in bone is also described. The method comprises a providing a shaft step, an incising step and a cutting step. The provided shaft is configured to be movable relative to the bone to be prepared and includes a broach coupled thereto to dispose a cutting surface of the broach at an acute angle relative to the shaft. The shaft and broach have a width defined by the distance between the shaft and the outer most portion of the cutting surface. The incising step includes incising the patient adjacent the bone to be prepared to form an incision having a length approximating the width of shaft and broach. The cutting step includes cutting the cavity by driving the broach by moving the shaft relative to the bone.",Zara,No,creating a cavity in bone - healthcare,,,No
205,"A sterilizing apparatus and method in which a sanitizing device detects pressure of steam rather than temperature. The pressure is related to a desired temperature, but detection of pressure means that temperature sensors do not need to be exposed to the steam. In addition, the steam can be fully saturated, and sterilization can be obtained without the need for a drying cycle. The liquid does not need to be reused in the apparatus, ensuring that biofilm contamination of articles can be substantially reduced.",Johanna,No,sterilizing apparatus,,,No
213,"The antipest mat protects vehicles against entry by small animals by giving the animals a deterrent electrical shock. The mat is made up of two sections joined together to form a closed shape with an open area in the middle. The sections are connected together at a pivot point that allows the mat to be opened so that it can be placed around a vehicle support point, such as a tire, and then closed to completely surround the vehicle support point. The upper insulative surface of the mat sections holds a pattern of closely spaced conductors. The conductors are arranged so that adjacent conductors are of opposite or differing polarities. The conductors are connected to one or more connectors. A source of electric power is provided to energize the conductors so that an animal contacting two or more adjacent conductors receives an electric shock.",Rohan,No,antipest mat,,,No
218,"Remote physical contact using mechanical surrogates that replicate anatomical components. Pressure, temperature and displacement sensors perceive action upon the surrogate. Actuators for pressure temperatures and displacement enable a second surrogate to mimic the contact imparted on the first. A computer program implements the method by sending contact messages comprising contact characteristics that describe the nature of a physical contact perceived by a surrogate with full duplex capability. A human lip surrogate enables two people to kiss remotely.",Raymond,No,,,,No
220,"An apparatus for twisting a continuous, filled tube of membranous tissue into a string of sausages, includes a pair of parallelly opposed, spaced belt conveyors for pulling in a length of the continuous tube longitudinally therebetween, a constrictor for constricting and pinching such length of tube at an end thereof, structure for relative lateral displacement of the belt conveyors to roll the length of tube therebetween about its longitudinal axis, thereby twisting the tube length end adjacent the constrictor, and device for driving the belt conveyors.",Lior,No,Not at all relater to AU.,,,No
260,"Portable lifting and transferring techniques for assisting in the mobility of disabled persons are disclosed. In one particular embodiment, the techniques may be realized as a portable lifting and transferring apparatus for assisting disabled persons that is compact, lightweight, and portable for use in different locations. Preferably, such an apparatus would provide multiple pivot points for providing multiple degrees of maneuvering freedom when lifting and transferring disabled persons and/or their mobility devices and for providing compatibility with a wide range of vehicles. The techniques may also be realized in other embodiments as disclosed herein.",Jamie,No,"also healthcare, helps with disability maneuvering",,,No
283,"A toy is provided that has a dynamo for converting manual movement into an electrical charge for the dynamo located within a housing. A miniature vehicle is induced to locomote through receipt of the electrical charge. A dock is provided for selectively creating an electrical coupling of the vehicle to the dynamo to transfer the electrical charge and decoupling to allow the vehicle to locomote. A charge storage device and an electrical motor in the vehicle allow for prolonged vehicle locomotion separate from the charge transfer by the dynamo. A toy is also provided that has a dynamo for converting manual movement into an electrical charge, the dynamo located within a housing. The dynamo transfers an electrical charge to a wheeled miniature vehicle through an electrically conductive circuit about which the vehicle travels. Additional amusement functions of LED light output or speaker auditory output are optionally provided.",Zara,No,toy,,,No
288,"The invention is directed to an appliance for the epilation of the human skin, having a housing to accommodate a motor and a drive mechanism for driving at least one clamping device ( 43 ) by which the user&#39;s hairs can be extracted. Moreover, a stimulus mechanism is to reduce the sense of pain during epilation. This mechanism includes at least one element ( 55 ) that is movable toward and away from the skin when the appliance is placed in epilating position on the user&#39;s skin. According to certain embodiments of the present invention, the at least one element ( 55 ) has a free end ( 56 ) and is arranged adjacent to the side of the rotary clamping device ( 43 ). In consequence, the user perceives at least subjectively a reduced sense of pain during epilation. Still further, a method for epilation and a method for the use of the appliance of the present invention are described.",Johanna,No,epilation appliance,,,No
291,"The present invention concern a cosmetic composition for topical application for reactivating the physiological growth of hair, said composition comprising a synergistic association of cysteine, lysine or derivatives thereof, with a glycoprotein, in a physiologically acceptable vehicle.",Rohan,No,Hair cream,,,No
292,"A navigation device for brachytherapy is provided. The navigation device has a 3D imaging facility which can be moved relative to an operating table, and which is designed to obtain a 3D image dataset intraoperatively for a region of the body of a patient positioned on the operating table which is to be irradiated radioactively using at least one applicator. The navigation device has a control facility which is linked to the imaging facility and is designed to generate a volume model of the region of the body, in which volume model the at least one applicator is emulated in the position indicated by the position data, from the 3D image dataset and from position data for a spatial position of the at least one applicator.",Raymond,No,,,,No
295,"An ultrasound system and method for performing relatively non-invasive cardiac ablation on a patient. The system of the present invention includes a plurality of ultrasound transducers forming a phased array that is to be located externally of the patient. The array a focused beam of sufficient energy to ablate a predetermined cardiac tissue volume. The system is capable of refocusing the beam so that acoustical aberrations encountered by the beam, as it is transmitted through inhomogeneous body tissues between the array and the treatment volume, are taken into account and will not impede operation of the system. To refocus the beam, the system includes a senor which senses the phase distribution caused by the aberrations allowing a controller to calculate a compensating driving phase distribution and accordingly drive the array. The system also allows for real time correction of the beam&#39;s position enabling the beam to follow a moving myocardial target volume.",Lior,No,Not at all relater to AU.,,,No
374,"An air motor driven device adapted for driving tools used during orthopedic surgery by rotating a driven shaft on the tool. The device has first and second spaced parallel output shafts driven at different speeds, at least one of which shafts can releasably engage the driven shaft of the tool. The second shaft has a through central opening accessible from its end opposite its output end so that the device can power pin or wire drivers or reamers guided on a guide wire. An attachment mechanism for releasably attaching a tool to the device is provided which receives an oval portion of the tool in a mating socket, and in addition to trigger operated valves for operating the air motor, provides a valve for shutting off or throttling the gas inlet line.",Jamie,No,"Also healthcare, used for orthopedic surgery",,,No
463,"A self contained fire extinguisher system that does not need external power in order to sense or initiate a release of a fire suppression medium, includes components configured to utilize a linear sensor network that can be connected to at least one and/or different sources of fire suppression mediums. A linear temperature sensing cord can be routed over a large area not practical with individual sensors. The cord can also actuate several and different sources of fire suppression mediums to maximize the suppression of a fire.",Zara,No,fire extinguisher,,,No
466,"Disclosed herein is a single step sterilization wrapping material suitable for use, as an example, in wrapping surgical instruments and supplies for sterilization, transportation and storage. The material includes separate inner and outer wraps which, unlike previous wraps, are joined to one another. Common wrapping techniques involve wrapping items to be sterilized with two separate sheets of wrap. The present invention provides separate wraps which can be specially engineered to deliver specific properties for each sheet and then joined to one another so as to permit wrapping and opening in a neat single step process which increases efficiency and saves time and money. In special situations the outer wrap can be engineered with increased strength, the inner wrap with increased barrier properties and the inner and outer wraps can be made visually distinct from one another so that improper wrapping or opening is not a problem.",Johanna,No,Sterilization Wrapping Material,,,No
520,"The ano-genital self-viewing device is used in conjunction with a conventional toilet to permit a person to conveniently view his or her own ano-genital region while seated in the conventional manner. The device has a fluorescent lamp with batteries, supporting arms to contain the device below the user and mirrors, one planar to reflect normal images and another concave to reflect magnified images from the illuminated ano-genital region upwards. The arms and mirrors fold compactly onto the base of the device to facilitate transportation and storage.",Rohan,No,,,,No
526,"A conveyor for transporting materials or people from a first location to a second location has an elongated boom having a first end, a second end, a top surface, and a bottom surface; a conveyor mechanism such as an endless belt, chain, or ladder that is operably attached to the elongated boom; and a plank platform operably attached to the boom adjacent to the bottom surface of the boom, wherein the platform is selectively pivotable from the boom and capable of providing a walking surface for the person unloading the conveyor. The platform may additionally or alternatively be at least partially extendible from one end of the elongated boom. The conveyor may be operably attached to a vehicle.",Raymond,No,,,,No
550,"An improved endoscopic device which is introduced into the intestinal tract of a living organism and which operates autonomously therein. In a first embodiment, the probe utilizes a miniature charge-coupled device (CCD) camera and a fiber optic/diode illumination system for inspection of the intestine wall. The CCD camera operation is supported by data processing electronics and an inductive data transfer circuit located within the probe which facilitate the real-time transfer of the acquired image data out of the probe to an external monitoring and control device. Power is supplied to the probe inductively from an external power source. The probe is completely sealed so as to be protected against damage by gastric acids or other potentially damaging substances residing within the patient. A second embodiment of the probe incorporates a miniature diode laser which is used in conjunction with the CCD array to produce autofluorescence spectra of the interior of the intestinal wall. In another aspect of the invention, an improved endoscopic device useful for implanting the aforementioned endoscopic smart probe is disclosed. A method for inspecting and/or treating the interior regions of the intestinal tract using the aforementioned smart probe is also disclosed.",Lior,No,Not at all relater to AU.,,,No
598,"A delivery device ( 20, 22 ) for and a method of delivering a substance to the nasal airway ( 1 ) of a subject, in particular the posterior region of the nasal airway, the delivery device comprising: a closure unit for causing the closure of the oropharyngeal velum of the subject; and a delivery unit for delivering a gas flow entraining a substance to one of the nostrils of the subject at such a driving pressure as to flow around the posterior margin of the nasal septum and out of the other nostril of the subject, wherein the delivery unit comprises a nosepiece ( 30, 40, 58, 82, 102, 132 ) which includes an outlet through which the gas flow is in use delivered to the one nostril and a sealing member for sealing the one nostril to the outlet such as in use to prevent the escape of the gas flow through the one nostril.",Jamie,No,"Also healthcare, for delivery of meds into nose",,,No
610,"A multifunctional mobility device for physically disabled people comprises a L-shaped frame having at its lower end a platform adapted to receive thereon a user in a substantially standing position. Front and rear wheels support the frame and the platform. The front wheels are rotatably mounted to the frame just in front of the platform. The frame includes at its upper end a pair of grips which can be grasped by the user when standing on the platform. Therefore, to operate the mobility device, the user must exert on the frame a sufficient force oriented substantially in a forward direction thereby producing a pivot of the frame and of the platform about the front wheel and a rotation of the front wheel which results in a forward displacement of the mobility device and of the user. A stabilizer terminated by a swivel caster is provided in front of the front wheels for limiting the forward pivot of the mobility device. A retractable seat also transforms the mobility aid into a wheelchair. The platform is then converted into a footrest. A second pair of grips is provided to be used by the attendant for pushing the user. The stabilizer can be retracted to allow the attendant to push the wheelchair on horizontal surfaces or along inclined surfaces, such as stairs or escalators. The mobility device is constructed of a number of connected members designed to fold for providing low profile mobility device for stowage and transportation purposes.",Zara,No,tool for disabled people,,,No
649,"The present invention provides a movement output apparatus for controllably moving a movement output means in at least two spatial dimensions, the apparatus including: a cog means with a first diameter; a ring with a track formed on an inner surface of the ring, the track having a second diameter which is larger than the first diameter; wherein: the cog means is rotatable by first driving means; the ring is rotatable by second driving means; the cog means is arranged to move, in use, along the track; and the movement output means is attached to the cog means, whereby, in use, movement of the cog means effects movement of the movement output means, and the movement of the movement output means is controllable by control of the first and second driving means to produce substantially linear movement of the movement output means to produce substantially linear movement of the movement output means.",Johanna,No,"unrelated, movement output apparatus",,,No
662,"Embodiments of the invention provide a system and method for operating a pressure-driven pool cleaner. The system includes a hydraulic timer assembly and a venturi vacuum assembly. The method includes directing water to the hydraulic timer assembly and the venturi vacuum assembly, driving the pressure-driven pool cleaner with the hydraulic timer assembly according to a timed movement cycle including a combination of backward movement and forward movement, and suctioning debris with the venturi vacuum assembly. The venturi vacuum assembly is independent of the hydraulic timer assembly so that suctioning occurs during the backward movement and the forward movement.",Rohan,No,Pool cleaner,,,No
688,"A ventilation device for non-invasive positive pressure ventilation (NIPPV) or continuous positive airway pressure (CPAP) treatment of a patient has a gas flow generator, a gas delivery circuit optionally including a humidifier, a controller and sensors monitoring values of operational parameters of the device. The device further includes one or more relationships stored in data storage of the controller relating combinations of parameter values as being indicative of fault conditions of the device operation, the sensors and/or the fault detection process.",Raymond,No,,,,No
699,"The invention relates to a vehicle for the transport of molecular substance, such as DNA, RNA, protein, PNA, pharmaceuticals of lipophilic and lipophobic character, into eukaryotic cells comprising at least one capsomere derived or originating from a virus, which on one of its sides interacts with the molecular substance such that the molecular substance can be bound or added to the capsomere.",Lior,No,Not at all relater to AU.,,,No
715,"A livestock unloading system for unloading livestock from a storage unit of a transport vehicle to a processing plant or storage facility. The unloading system includes a conveyor system whereby livestock ride from the storage unit to their destination. The conveying system includes a telescoping end that extends into and retracts from a coop during the unloading process. A system of hydraulics controls the speed of the conveyor, aids in the leveling of the machine, adjusts both the angle and tier of unloading, and levels and controls the telescoping end of the apparatus.",Jamie,No,Livestock transportation conveyor belt,,,No
736,"An injection device having a delivery element with an inner thread may be driven by rotation and includes a cylindrical outer wall region, which is substantially smooth. Such features provide a delivery element configured such that it is less intimidating to patients than known threaded rods, and may facilitate easy cleaning. The delivery element may be non-rotatably guided and axially spring-loaded, and may be inserted axially into the housing when the reservoir is replaced. The driving thread element for the delivery element may be mounted in the vicinity of the distal end of the housing.",Zara,No,injection device,,,No
749,"A golf course is laid out for play in a front round and a back round, with each round being played on a sequence of eleven holes spaced apart along a course that traverses natural rough environs. The holes are integrated into the existing natural rough environs thereby forming playable green areas adjoining out-of-play rough areas. Each hole includes a green located within an out-of-play boundary line, and the distance between the approximate center of the green and its out-of-play boundary line is fractionally proportional to the spacing distance that separates the green in play from the preceding green. All play is single stroke from green-to-green (hole-to-hole). The spacing distance from one green playing area to the next is limited to a predetermined distance that is calculated to allow it to be spanned in a single stroke by a beginning player. The green itself is used to make up the net driving distance (from tee to next green) thereby minimizing the total course acreage required for par play.",Johanna,No,golf course,,,No
753,A crop width measuring assembly is mounted to a harvesting assembly of an agricultural machine for measuring the actual width of the crop swath received by the harvesting assembly. The crop width measuring assembly comprises a plurality of crop presence sensors distributed along the width of the harvesting assembly. The crop width measuring assembly is in communication with a processor for monitoring different crop parameters in relation to their geographic location in a field.,Rohan,No,,,,No
790,"A soil cultivating machine comprises two transverse rows of fixed tines and three transversely extending rollers. The front roller has discs which cut parallel slits in the soil. The two following rollers have transversely extending releasable blades mounted on angle-irons which form shallow V&#39;s pointed in the direction of the rollers&#39; rotation and which are twisted about 90° from their outboard ends to their centers. The rollers are drivingly interconnected by a chain transmission so that the middle roller rotates slower than the other two and the rear roller rotates faster than it would if freely rotating on the ground. The tines are in rows between the rollers and their depth of soil penetration relative to the underlying soil is adjustable. The rollers are mounted on a generally horizontal framework which is adjustable, however, so it can be inclined slightly either forward or aft to increase or decrease the penetration of the front roller&#39;s discs.",Raymond,No,,,,No
800,A threaded fastener for embedment into bone is disclosed. Threads are formed on cylindrical stock. The thread pattern features upper and lower surfaces. The upper surface includes (in section) two facets which intersect to form a “V” shaped contour and a lower surface which is undercut below an upper facet nearest a root of the fastener thread. The fastener includes a self-tapping cutter at a distal extremity and a driving head at its proximal extremity. The cylindrical stock contemplates two variants: it may be hollow from the proximal end to the self-tapping cutter or from the self-tapping cutter to its distal end. The self-tapping cutter is configured to feed bone shards into the hollow.,Lior,No,Not at all relater to AU.,,,No
877,"An aquatic toy constructed of a flexible, watertight body, shaped and decorated to resemble an aquatic animal, having a head, a carcass, and a tail. The toy has a first motor constructed and arranged for driving the tail in an oscillating manner to propel the toy while in water, a second motor constructed and arranged for swinging the tail off the center line of the toy to steer the toy, and a control system constructed and arranged for switching on/off the first and second motors under certain conditions. The toy further has an air ballast container constructed and arranged for maintaining the toy almost but not completely submerged when the toy is placed in water.",Jamie,No,"Aquatic toy for play,",,,No
882,"A lift device capable of performing an activating motion having a part suspension device for training an upper limb capable of easily and surely performing an upper limb activating motion and easy to handle and use such that it is free to pass over a sill height difference, comprising leg parts ( 3   a,    3   b ) with a caster ( 2 ) having a sliding run-over plate ( 1 ), an equipment storage part ( 4 ), wheels ( 5 ), a lifting guide ( 6 ) installed erectedly on the equipment storage part by fixing one end thereof to the storage part, a lifting part ( 7 ) provided inside the lifting guide, a lifting drive part ( 9 ) drivingly lifting the lifting part, a moving switch ( 81   s ), a lifting drive control part ( 10 ) controlling the lifting drive part, devices ( 81   t,    120 ) to set the training devices, a chair ( 101 ), a running-pulling arm ( 88 ) installed on the lifting part, part suspension device mounting devices ( 11 ) and ( 12 ) for training an upper limb, installed on the equipment storage part, a mounting hole ( 13 ) for the part suspension device for training an upper limb provided in the lifting guide and a part suspension device ( 14 ) for training an upper limb, installed on the mounting device for part suspension device for training an upper limb.",Zara,No,disabled people tool,,,No
922,"Current rehabilitative treatment of balance disorder requires long and intensive processes. The development of a wearable device for use in clinic as well as at home and during daily routine activities would enable continuous treatment outside of specialized training settings and accelerated relieve of balance disorder. The patent describes a wearable device that utilizes inertial sensors and sensor fusion processing to measure body posture and provide real-time feedback to alert the wearer to remain in the region of stability, and that utilizes wireless communication to support therapy and training providers.",Johanna,No,healthcare device,,,No
933,"A system comprises a brake light housing comprising a flat front surface and a concave rear surface being configured to conform to a shape of a helmet. A flexible base member is joined to the rear surface. The flexible base member is configured to form a seal with the helmet to mitigate wind from dislodging the brake light housing from the helmet. A light source is disposed within the brake light housing to emit an illumination toward the front surface. A receiver is disposed within the brake light housing to receive a signal indicating an application of a brake of a vehicle and to active the light source for a duration of the signal. A transmitter is configured to be joinable to the vehicle, to be in communication with the vehicle&#39;s braking system, and to communicate the signal to the receiver for a duration of the application of the brake.",Rohan,No,,,,No
943,"An ultrasonic imaging apparatus, including an ultrasonic probe including an ultrasonic vibration element configured to transmit and receive an ultrasonic wave in a scanning direction in an object in which a contrast media has been injected; a transmission unit configured to apply successive drive pulses to the probe so as to transmit respective ultrasonic signals in respective rate sections; a reception unit configured to receive reflected ultrasonic signals, including first reflected ultrasonic signals produced by a first drive pulse in a first rate section and reflected back to the probe in the first rate section and in a second rate section subsequent to the first rate section; an operation unit configured to perform an operation including at least one of addition and subtraction of at least two of the first ultrasonic signals received during different rate sections; and a signal processor configured to produce image data based on the result of the operation performed by the operation unit. Plural driving pulses having alternating polarity may be applied to the probe in a same scan direction.",Raymond,No,,,,No
955,"A biomedical device for continuous or intermittent monitoring of vital signs, such a arterial blood pressure, pulse oxymetry, etc., comprises two components connected by a wireless link. The first component is an electronic bracelet attached to a patient, while the second one is a smartphone that controls the first component and receives from it biomedical signals. The bracelet carries various sensors and actuators to enable and acquiring medical signals. The smartphone has an app that commands the bracelet and then receives and processes data and takes further actions, like enabling an alarm, plotting data, calling an emergency service or doctor office.",Lior,No,Not at all relater to AU.,,,No
970,"A complete knockdown type bed furniture assembly including a bed, a wardrobe and a desk is disclosed. The entire structure of the assembly is mainly composed of a variety of panels and boards, or frames removably coupled to one another manually with screw-bolts which, when disassembled, can be laid substantially flat one above another to make themselves a flat compact form without occupying an unnecessarily large space, especially in transportation and storage.",Jamie,No,Furniture,,,No
982,"The Extra Pocket is a hanging, stand-alone holding vehicle which allows a person to store items from their worn apparel pockets/pocketbooks until a later time. This makes for a tidier, neater way of living. The Extra-Pocket will also allow one to remember where their items are at all times.",Zara,No,extra pocket,,,No
984,"A method for calibrating or registering a medical instrument or implant includes determining a spatial position of the instrument or implant and determining a relative position of the instrument or implant with respect to anatomical data. A spatial orientation of a multi-dimensionally formed, functional section of the instrument or implant is determined. A device for calibrating or registering a medical instrument or implant using a medical navigation system includes calibration aid, where the calibration aid includes a calibration section whose spatial orientation in said navigation system is known and on which a multi-dimensionally formed, functional section of the instrument or implant can be oriented.",Johanna,No,,,,No
